Name,Start,Finish
mango (Mangifera indica),June,September
peach (Prunus persica),May,July
nectarine (Prunus persica var. nucipersica),May,July
sweet cherry (Prunus avium),May,June
apple (Malus domestica),August,November
orange (Citrus sinensis),December,April
apricot (Prunus armeniaca),May,June
Japanese persimmon (Diospyros kaki),October,December
pomegranate (Punica granatum),September,November
banana (Musa x paradisiaca),August,October
avocado (Persea americana),April,September
strawberry guava (Psidium cattleyanum),August,October
guava (Psidium guajava),August,December
cherimoya (Annona cherimola),November,May
lychee (Litchi chinensis),June,July
papaya (Carica papaya),May,September
European edible plum (Prunus domestica),May,September
edible pear (Pyrus communis),August,September
jackfruit (Artocarpus heterophyllus),June,August
Mandarin orange (Citrus reticulata),November,January
tangerine (Citrus reticulata),November,January
grapefruit (Citrus paradisi),November,May
pomelo (Citrus maxima),November,March
lemon (Citrus limon),Year-round,Year-round
lime (Citrus x aurantiifolia),Year-round,Year-round
Mexican lime (Citrus x aurantiifolia),Year-round,Year-round
Meyer lemon (Citrus x meyeri),Year-round,Year-round
kumquat (Citrus japonica),December,April
calamansi; calamondin (x Citrofortunella microcarpa),Year-round,Year-round
tangelo (Citrus x tangelo),December,February
edible fig (Ficus carica),June,September
edible loquat (Eriobotrya japonica),April,June
sapodilla (Manilkara zapota),January,March
star fruit (Averrhoa carambola),June,February
soursop (Annona muricata),June,September
date palm (Phoenix dactylifera),August,October
American persimmon (Diospyros virginiana),October,November
feijoa (Acca sellowiana),October,December
pineapple guava; feijoa (Acca sellowiana),October,December
mamey; mamey sapote (Pouteria sapota),May,July
white sapote (Casimiroa edulis),September,November
black sapote (Diospyros nigra),November,March
almond (Prunus dulcis),August,September
pecan (Carya illinoinensis),September,November
European filbert (Corylus avellana),September,October
American hazelnut (Corylus americana),September,October
edible pistachio (Pistacia vera),September,October
chestnut species (Castanea spp.),October,November
Colossal chestnut (Castanea 'Colossal'),October,November
European grape (Vitis vinifera),July,October
olive (Olea europaea),September,November
capulin cherry (Prunus salicifolia),June,August
Black cherry (Prunus serotina),June,August
Japanese edible plum (Prunus salicina),May,August
black mulberry (Morus nigra),June,August
carob (Ceratonia siliqua),September,November
bitter orange (Citrus x aurantium),December,February
longan (Dimocarpus longan),July,August
rose apple (Syzygium jambos),June,July
quince (Cydonia oblonga),September,October
pindo palm; jelly palm (Butia odorata),June,August
tamarind (Tamarindus indica),October,November
Manila tamarind; guamuchil (Pithecellobium dulce),May,July
Jamaican cherry tree (Muntingia calabura),May,September
kaffir lime; makrut lime; Thai lime (Citrus hystrix),Year-round,Year-round
pear lemon (Citrus x lumia),Year-round,Year-round
cherry plum (Prunus cerasifera),February,March
citrus (Citrus spp.),Year-round,Year-round
fig species (Ficus spp.),June,September
lemon guava (Psidium cattleianum ssp lucidum),August,October
Bearss lime (Citrus latifolia),Year-round,Year-round
black walnut (Juglans nigra),October,November